SNP,Q_statistic,p.value,Qsum,Qdif
rs2730827,16.6646711610315,4.46039878831755e-05,1127.86322438855,-761.975412938329
rs35753840,16.3359978813536,5.30466451464293e-05,1144.1992222699,-745.639415056975
rs35895680,16.2997222387887,5.40718768727133e-05,1160.49894450869,-729.339692818187
rs1650505,15.0474910946431,0.000104839524416307,1175.54643560334,-714.292201723543
rs2513505,14.7295257998729,0.000124087743132778,1190.27596140321,-699.562675923671
rs978444,13.5722026355876,0.000229559843123496,1203.8481640388,-685.990473288083
rs10998338,12.9629885907597,0.000317709609898987,1216.81115262956,-673.027484697323
rs1426371,12.7637583930666,0.00035340009494777,1229.57491102262,-660.263726304257
rs2169033,11.7828695999503,0.000597782641564458,1241.35778062257,-648.480856704306
rs10938398,11.4449961683241,0.000716867810025349,1252.8027767909,-637.035860535982
rs7224711,10.4356477657179,0.00123606189653212,1263.23842455661,-626.600212770264
rs111765639,10.3757637838033,0.00127680315658669,1273.61418834042,-616.224448986461
rs7178762,9.93587950385236,0.00162087971120093,1283.55006784427,-606.288569482609
rs6567160,9.8914757909939,0.00166046147996727,1293.44154363526,-596.397093691615
rs145904381,9.85549542369711,0.00169325193734221,1303.29703905896,-586.541598267918
rs8071043,9.70182904890061,0.00184084694965407,1312.99886810786,-576.839769219017
rs10767659,9.58596901363592,0.00196069931386158,1322.5848371215,-567.253800205381
rs11258422,9.31250121274338,0.00227595565180902,1331.89733833424,-557.941298992638
rs58542926,9.28976272423648,0.0023043800666955,1341.18710105848,-548.651536268402
rs6565922,9.10725832947586,0.0025459718882914,1350.29435938795,-539.544277938925
rs1109442,9.0744342641794,0.00259207754457695,1359.36879365213,-530.469843674746
rs6741676,9.02710636923304,0.00266005226388538,1368.39590002137,-521.442737305513
rs217256,8.65137217247193,0.00326815138244377,1377.04727219384,-512.791365133041
rs11173646,8.25641784198758,0.00406081785720287,1385.30369003583,-504.534947291054
rs4906272,8.02119622935948,0.00462330232076787,1393.32488626518,-496.513751061694
rs9479,7.92350127562731,0.004879674894704,1401.24838754081,-488.590249786067
rs9308614,7.8466375348988,0.0050915317647729,1409.09502507571,-480.743612251168
rs1421085,7.75390939877359,0.00535963966377314,1416.84893447448,-472.989702852394
rs41304257,7.65997967429241,0.00564591408242298,1424.50891414878,-465.329723178102
rs6549112,7.6518927007441,0.00567127890940167,1432.16080684952,-457.677830477358
rs13099581,7.53271021268699,0.00605886930494099,1439.69351706221,-450.145120264671
rs7163757,7.4837524722473,0.00622581883331951,1447.17726953446,-442.661367792424
rs9873519,7.29137622958284,0.00692863798049546,1454.46864576404,-435.369991562841
rs12883788,7.2786297182868,0.0069779745804368,1461.74727548232,-428.091361844554
rs730497,7.03673883930593,0.00798543041303422,1468.78401432163,-421.054623005248
rs6975279,6.84391096349471,0.00889439030770899,1475.62792528513,-414.210712041753
rs429358,6.36572454350377,0.0116345579052656,1481.99364982863,-407.84498749825
rs13434089,6.32834766516877,0.0118822972657673,1488.3219974938,-401.516639833081
rs9379084,6.15633031831841,0.0130942592373172,1494.47832781212,-395.360309514762
rs12625671,6.10019688522307,0.0135166821468694,1500.57852469734,-389.260112629539
rs11646052,6.05278709356249,0.0138843642734292,1506.6313117909,-383.207325535977
rs61967710,5.97269828474575,0.0145290323751498,1512.60401007565,-377.234627251231
rs11257655,5.96287057477876,0.0146102347124808,1518.56688065043,-371.271756676452
rs7227272,5.84693563857266,0.0156041999993834,1524.413816289,-365.42482103788
rs28792187,5.65764704432095,0.0173794233916321,1530.07146333332,-359.767173993559
rs9370243,5.60143239279298,0.0179457994087818,1535.67289572611,-354.165741600766
rs11870735,5.59297963974996,0.018032596511088,1541.26587536586,-348.572761961016
rs13237518,5.45534543781505,0.0195085466994096,1546.72122080368,-343.117416523201
rs9560114,5.22963916940872,0.022205138465618,1551.95085997309,-337.887777353792
rs4805881,5.1901749144989,0.0227149299486795,1557.14103488759,-332.697602439293
rs410150,5.18217986070391,0.0228196775519319,1562.32321474829,-327.515422578589
rs2482506,5.13468763065054,0.0234523069286643,1567.45790237894,-322.380734947939
rs10750397,5.08340347225167,0.0241559075092879,1572.54130585119,-317.297331475687
rs1470560,5.01853243957851,0.0250774144896083,1577.55983829077,-312.278799036108
rs7659468,5.00888456173642,0.0252175505787129,1582.56872285251,-307.269914474372
rs10440833,5.00408229832595,0.025287606644907,1587.57280515083,-302.265832176046
rs13406280,4.99481379120896,0.0254233889150532,1592.56761894204,-297.271018384837
rs3751239,4.88733792901927,0.0270543705835311,1597.45495687106,-292.383680455818
rs4833687,4.77483013841204,0.0288786952337665,1602.22978700947,-287.608850317406
rs10993072,4.74851742070189,0.0293235482008685,1606.97830443018,-282.860332896704
rs723355,4.67940036465375,0.0305264022444169,1611.65770479483,-278.18093253205
rs7274134,4.65302977210007,0.030998787983926,1616.31073456693,-273.52790275995
rs7554251,4.54759385911196,0.0329650403533559,1620.85832842604,-268.980308900838
rs9472139,4.53862598023788,0.0331381813725876,1625.39695440628,-264.4416829206
rs9316500,4.50786534674939,0.0337393229106827,1629.90481975303,-259.933817573851
rs1567353,4.47451994845935,0.034403865867024,1634.37933970149,-255.459297625392
rs3753693,4.46304448970595,0.0346357135443908,1638.84238419119,-250.996253135685
rs2943650,4.3817656853704,0.0363253490772844,1643.22414987656,-246.614487450315
rs2723065,4.37989177608754,0.0363653063322374,1647.60404165265,-242.234595674228
rs4929965,4.32406501777125,0.0375770529643051,1651.92810667042,-237.910530656456
rs59646751,4.31068482522967,0.0378737121564035,1656.23879149565,-233.599845831227
rs55857387,4.1258476975738,0.0422328569193,1660.36463919323,-229.473998133653
rs2257883,4.0644889554301,0.043793934650422,1664.42912814866,-225.409509178223
rs11150745,3.99923983697006,0.0455207897403147,1668.42836798563,-221.410269341253
rs6813195,3.99202262845927,0.0457161547209381,1672.42039061409,-217.418246712793
rs6716394,3.97462423129054,0.0461907584479237,1676.39501484538,-213.443622481503
rs56392746,3.89918151557476,0.0483096378757094,1680.29419636095,-209.544440965928
